Time,EEG
0.97,-3552.5446558513913
0.98,-3590.002719582037
0.99,-3684.9344105499376
1.0,-3845.676680024559
1.01,-4068.553609667608
1.02,-4313.140347762926
1.03,-4519.626020027715
1.04,-4644.104883191491
1.05,-4664.368635327654
1.06,-4600.834099449094
1.07,-4484.333360198105
1.08,-4321.135173319733
1.09,-4102.3748672042675
1.1,-3849.611807324744
1.11,-3582.603258985295
1.12,-3293.551401239631
1.13,-2962.500003020707
1.14,-2585.8700245286545
1.15,-2172.286161514305
1.16,-1742.5720044767181
1.17,-1319.1987237149756
1.18,-922.5461552166817
1.19,-571.9623641321159
1.2,-289.29328484301544
1.21,-86.57924208358327
1.22,40.461109469085216
1.23,130.06344381012877
1.24,228.03303857536304
1.25,366.341479060069
1.26,543.1742704083024
1.27,708.1943799667625
1.28,811.5937398042659
1.29,850.0462916279425
1.3,829.4437376491624
1.31,753.0505253887003
1.32,635.9160485242223
1.33,492.0507073066415
1.34,336.549187437002
1.35,215.90109331655728
1.36,171.57054653297914
1.37,154.91038091833278
1.38,72.141581952316
1.39,-103.1271761538177
1.4,-359.72965423634054
1.41,-672.807963494035
1.42,-986.3449857758676
1.43,-1272.3437843788347
1.44,-1547.3354862935062
1.45,-1797.0143816772868
1.46,-1968.8041571079293
1.47,-2039.6771651763663
1.48,-2041.0425514406322
1.49,-2016.7761028650225
1.5,-1999.9807501821322
1.51,-1989.3752320733304
1.52,-1941.1429735323238
1.53,-1816.5251784662057
1.54,-1616.5636345972769
1.55,-1377.3794403229106
1.56,-1158.4336025525859
1.57,-980.9454984727525
1.58,-826.988313939545
1.59,-716.4557310675217
1.6,-697.9862988777295
1.61,-780.3752304321358
1.62,-931.3900501337924
1.63,-1080.5331723022541
1.64,-1130.2761130184006
1.65,-1009.5407246113651
1.66,-718.2951535648484
1.67,-296.85253453584113
1.68,192.64687744317783
1.69,662.4283693792748
1.7,1074.9158432677527
1.71,1431.054498804284
1.72,1686.0217441575874
1.73,1785.5591707137296
1.74,1717.3395121677881
1.75,1505.1420861491395
1.76,1221.604244609814
1.77,994.4377409717569
1.78,918.75607328094
1.79,978.2489179267908
1.8,1138.6474444405537
1.81,1400.7765248239511
1.82,1766.5121680662871
1.83,2206.0140881031616
1.84,2659.713871502738
1.85,3055.1981845088917
1.86,3331.6237951151625
1.87,3462.9192890472978
1.88,3476.477020768416
1.89,3426.1655320947084
1.9,3376.8407395649083
1.91,3366.6157090018605
1.92,3437.549899932
1.93,3620.135100135786
1.94,3887.246024497001
1.95,4168.306206693433
1.96,4402.630336788937
1.97,4569.376382624078
1.98,4670.933258372859
1.99,4691.733197989174
2.0,4611.060496945846
2.01,4395.486262254016
2.02,4045.5665739000992
2.03,3607.4629597685357
2.04,3161.814169940574
2.05,2777.2585731415534
2.06,2468.175199320888
2.07,2226.4371456102735
2.08,2064.728841173769
2.09,1993.325580906711
2.1,2016.5325266550724
2.11,2117.0373759821873
2.12,2269.7083034528273
2.13,2438.2307576208877
2.14,2596.574533758337
2.15,2710.5076504402023
2.16,2733.3823221282214
2.17,2642.463690134686
2.18,2456.2445734841463
2.19,2208.058693198088
2.2,1963.0005372979444
2.21,1796.8750630264665
2.22,1743.5575213903874
2.23,1795.4929019322453
2.24,1944.297175828952
2.25,2156.0657365746133
2.26,2332.6746776549544
2.27,2357.801625500218
2.28,2177.891477644602
2.29,1791.4213222426397
2.3,1239.6269791701272
2.31,617.3800832411082
2.32,45.58532514071031
2.33,-389.877125674134
2.34,-665.4913469617933
2.35,-779.3567532842859
2.36,-732.2111894960028
2.37,-578.45664482691
2.38,-419.1421420971283
2.39,-332.2264856069986
2.4,-363.20485066320424
2.41,-543.2281487082696
2.42,-853.7357799154202
2.43,-1207.863914344713
2.44,-1500.8191063026268
2.45,-1665.1014162535507
2.46,-1669.387567039645
2.47,-1527.6501864912364
2.48,-1326.1750224299803
2.49,-1161.3492661134878
2.5,-1072.7948353172644
2.51,-1037.7124062444268
2.52,-1041.761747614479
2.53,-1112.3601542473052
2.54,-1267.608766957139
2.55,-1488.617187966323
2.56,-1737.9741835280831
2.57,-1958.4673137941882
2.58,-2083.2480741582153
2.59,-2086.086027758405
2.6,-2023.448727448594
2.61,-1947.4450233234456
2.62,-1871.2056350576133
2.63,-1814.6960853225087
2.64,-1814.0304803762776
2.65,-1889.0723534352448
2.66,-2041.2455850724916
2.67,-2252.42162881552
2.68,-2468.187581838412
2.69,-2622.764631329936
2.7,-2709.067694410666
2.71,-2760.1637628603567
2.72,-2835.5599045839194
2.73,-2965.171609173081
2.74,-3127.839148896158
2.75,-3300.6381265888385
2.76,-3482.6159885487223
2.77,-3656.676472929658
2.78,-3816.6576538033246
2.79,-3984.3894284996404
2.8,-4157.296230838758
2.81,-4277.807094901429
2.82,-4357.16698986926
2.83,-4487.195840719194
2.84,-4684.759769598138
2.85,-4853.72304501327
2.86,-4899.388657364335
2.87,-4729.850114398303
2.88,-4277.73331067164
2.89,-3590.2745624374534
2.9,-2804.7117851256066
2.91,-2015.294363226952
2.92,-1260.5652655959136
2.93,-618.054753985403
2.94,-176.16689008571254
2.95,54.11282025701957
2.96,91.11584617417094
2.97,-12.695296709021925
2.98,-145.14130856377946
2.99,-191.73864126557118
3.0,-112.63984448019883
3.01,82.74537637037692
3.02,374.4080748361162
3.03,709.5423700127426
3.04,1014.5881690340562
3.05,1237.055791308966
3.06,1353.3267838668366
3.07,1375.4865070736419
3.08,1352.5485053529396
3.09,1304.9299679920134
3.1,1200.3713195452628
3.11,1042.8461541416348
3.12,893.5458628187662
3.13,807.7505478216348
3.14,798.2562703665942
3.15,833.6347363741313
3.16,852.5110520794113
3.17,786.887077693756
3.18,622.7329402003153
3.19,406.6098167090565
3.2,156.15255678487625
3.21,-157.22996270380168
3.22,-537.5688280152757
3.23,-946.3466716558262
3.24,-1318.5627891308407
3.25,-1571.0688561245688
3.26,-1645.8910463694601
3.27,-1568.637792794691
3.28,-1425.1204024896588
3.29,-1254.6297936572978
3.3,-1034.799636614752
3.31,-752.6535567598345
3.32,-404.11223773463746
3.33,-20.090796124458425
3.34,328.95050139682655
3.35,589.0136128849297
3.36,758.7699497275617
3.37,882.6919321084733
3.38,1001.5671651086537
3.39,1133.0060490033134
3.4,1263.929706467729
3.41,1367.7343185739787
3.42,1458.8690928321123
3.43,1567.1121290209555
3.44,1707.1271826656243
3.45,1861.4290572564971
3.46,1990.751039930099
3.47,2085.2172881398988
3.48,2182.9315543181438
3.49,2323.7948484188373
3.5,2499.2661747631782
